;Company;Symbol
437;EURONEXT AMSTERDAM EUR6;0HLU.L
438;VGP NV EUR0.014;0HM0.L
439;DOF ASA NOK2;0HMM.L
440;GRUPPO COIN SPA. EUR0.10;0HMZ.L
441;ROYAL CARIBBEAN CRUISES COM STK USD0.01;0HN1.L
442;S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV;0HN3.L
443;GAM DIVERSITY INC COM SHS NPV USD;0HNF.L
444;BOUSSARD & GAVAUDAN HOLDING EUR0.0001;0HNH.L
445;ABLYNX N.V. NPV;0HNK.L
446;BRD KLEE SER`B`DKK100;0HNN.L
447;ARSEUS NV NPV;0HNZ.L
448;ARCHER-DANIELS-MIDLAND CO COM STK NPV;0HOB.L
449;COFINIMMO ORD NPV;0HOH.L
450;COMPUGROUP HOLDING AG NPV;0HOJ.L
451;INGENICO EUR1;0HOU.L
452;INTRACOM HLDGS SA EUR1.41;0HOV.L
453;KONGSBERG AUTOMOTIVE ASA NOK0.50;0HOY.L
454;ALCOA INC COM STK USD1;0HQN.L
455;ALFA LAVAL AB NPV;0HQR.L
456;COLRUYT SA NPV;0HQU.L
457;STALLERGENES EUR0.95;0HQW.L
458;SECURITAS AB SER`B`NPV;0HQY.L
459;DUNI AB SEK10;0HR3.L
460;SSAB(SVENSKT STAL)AB SER`A`NPV;0HRJ.L
461;STALLERGENES EUR0.95;0HRR.L
462;GLASTON OYJ NPV;0HRV.L
463;L`OREAL EUR0.20;0HRZ.L
464;FIAT SPA DI RISP EUR5(NON CNV);0HT4.L
465;ATMEL CORP COM STK USD0.001;0HTK.L
466;VOLVO(AB) SER`B`NPV;0HTP.L
467;INTEX RESOURCES ASA NOK0.5;0HTS.L
468;GOLDEN OCEAN USD0.1;0HU4.L
469;HERMES INTERNATIONAL NPV;0HV2.L
470;FONCIER FINANCIERE ET DE PARTICIP EUR2;0HV8.L
471;HAULOTTE GROUP EUR0.13;0HVA.L
472;INGENICO EUR1;0HVB.L
473;TESFRAN EUR20;0HVF.L
474;ROYAL CARIBBEAN CRUISES COM STK USD0.01;0HVP.L
475;KONGSBERG AUTOMOTIVE ASA NOK0.50;0HW0.L
476;SECURITAS AB SER`B`NPV;0HW4.L
477;DORO AB NPV;0HW6.L
478;NYSE EURONEXT INC COM STK USD0.01;0HWG.L
479;UNIPETROL CZK100;0HWL.L
480;WEST SIBERIAN RESOURCES SDR EACH REPR I USD0.25;0HX8.L
481;TENARIS S.A. USD1;0HXB.L
482;CEMENTIR SPA EUR1;0HY2.L
483;SIMULATION ANALYSIS & FORECASTING CHF0.04 (BR);0HYI.L
484;SEADRILL LTD USD2;0HYK.L
485;AGROS DEVELOPMENT PROODOS EUR1.71;0HYP.L
486;PANAYIDES CONTRACTING EUR0.34;0HYR.L
487;EURAZEO ORD NPV;0HZC.L
488;WENDEL INVESTISSEMENT EUR4;0HZD.L
489;BOUSORAMA EUR0.40;0HZR.L
490;BALKAN & SEA PROPERTIES REIT-VARNA BGN1;0HZU.L
491;SICAL EUR3.03(REGD);0HZV.L
492;ABC ARBITRAGE EUR0.016;0I0B.L
493;PISCINES DES JOYAUX EUR3.09;0I0H.L
494;FAUVET-GIREL(ETABL.) EUR8;0I0N.L
495;ORAL HAMMASLAAKARIT NPV;0I0T.L
496;SANOMA WSOY OYJ NPV;0I14.L
497;UNION FINANCIERE DE FRANCE NPV;0I15.L
498;COFIGEO(CIE FIN GEO) EUR16;0I1E.L
499;ROYAL CARIBBEAN CRUISES COM STK USD0.01;0I1W.L
500;ATLANTIA SPA EUR1;0I2R.L
501;I.T.B. NPV;0I2T.L
502;VIENNA INSURANCE GROUP NPV;0I3F.L
503;WERELDHAVE BELGIUM NPV;0I3G.L
504;ATLANTIC AIRWAYS P/F DKK100;0I3I.L
505;BARCO(NEW) NPV;0I3Q.L
506;CATERING INTL SERVICES CIS EUR0.80;0I3T.L
507;DEUTSCHE EUROSHOP AG NPV;0I3Z.L
508;DRAGERWERK AG NON VTG PREF NPV;0I47.L
509;STOREBRAND ASA `A`NOK5;0I4P.L
510;ST MICROELECTRONICS EUR1.04;0I4Q.L
511;SODEXHO EUR4;0I4X.L
